Chron1234	Ref A: Chabot, Jean Baptiste, ed.  Chronicon Anonymum Ad A.D. 819 Chronicon Ad Annum Christi 1234 Pertinens I: Praemissum Est Chronicon Anonymum Ad A.D. 819 Pertinens Curante Aphram Barsaum. CSCO 81, Syr. 36. Paris: E Typographeo Reipublicae, 1920. (Leuven: L. Durbercq, 1953.) | Ref B: Chabot, Jean Baptiste, ed. Anonymi auctoris Chronicon ad annum Christi 1234 pertinens II. CSCO 82, Syr. 37. Paris: E Typographeo Reipublicae, 1916, 1920, 1937. (Leuven: L. Durbecq, 1965.)
Chron724	Brooks, Ernest Walter, ed. Chronica Minora II. CSCO 3, Syr. 3. Leuven: Secrétariat du CorpusSCO, 1904.
Chron846	Brooks, Ernest Walter, ed. Chronica Minora II. CSCO 3, Syr. 3. Leuven: Secrétariat du CorpusSCO, 1904.
ChronEdes	Guidi, Ignazio, ed. Chronica Minora I. CSCO 1, Syr. 1. Leuven: Secrétariat du CorpusSCO, 1903. (1960)
JnChr:ComJohn1	Childers, Jeff W., ed. The Syriac Version of John Chrysostom’s Commentary on John I. Memre 1-43. CSCO 651-652, Syr. 250-251. Leuven: Peeters, 2013.
ComAscet	Draguet, René, ed. Commentaire anonyme du Livre d’abba Isaïe (fragments). CSCO 336-337, Syr. 150-151. Leuven: Secrétariat du CorpusSCO, 1973.
ComGenExod	van Rompay, Lucas, ed. Le commentaire sur Genèse–Exode 9,32 du manuscrit (olim) Diyarbakir 22. CSCO 483-484, Syr. 205-206. Leuven: Peeters, 1986.
CyrAl:Epist	Ebied, Rifaat Y. and Wickham, Lionel Ralph, eds. A Collection of Unpublished Syriac Letters of Cyril of Alexandria. CSCO 359-360, Syr. 157-158. Leuven: Secrétariat du CorpusSCO, 1975.
CyrAl:UnityNat	Nau, François, ed. Documents pour servir à l’histoire de l’Église nestorienne: I. Quatre Homélies de saint Jean Chrysostome; II. Textes monophysites: Homélies d’Érechthios; Fragments divers; Extraits de Timothée Ælure, de Philoxène, de Bar Hébraeus; III. Histoire de Nestorius, d’après la lettre à Cosme et l’hymne de S. Patrologia Orientalis 13.2 [63]. Paris: Firmin-Didot, 1917. (Turnhout: Brepols, 1993.)
DadQaṭ:ComAscetAbbaIs	Draguet, René, ed. Commentaire du livre d’Abba Isaïe (logoi I-XV) par Dadišo Qatraya (VIIe s.). CSCO 326-327, Syr. 144-145. Leuven: Secrétariat du CorpusSCO, 1972.
DefOrthBishs&QononEugenSupporters	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
Denḥ:Denḥa	Nau, François, ed. Histoires d’Ahoudemmeh et de Marouta, métropolitains jacobites de Tagrit et de l’Orient (VIe et VIIe siècles), suivies du traité d’Ahoudemmeh sur l’homme. Patrologia Orientalis 3.1 [11]. Paris: Firmin-Didot, 1905. 
DidascApost	Ref A: Vööbus, Arthur, ed. The Didascalia Apostolorum in Syriac I: Chapters I-X. CSCO 401-402, Syr 175-176. Leuven: Secrétariat du CorpusSCO, 1979. | Ref B: Vööbus, Arthur, ed. The Didascalia Apostolorum in Syriac II: Chapter XI-XXVI. CSCO 407-408, Syr. 179-180. Leuven: Secrétariat du CorpusSCO, 1979.
Ps-DionAr:MystWritings	Fiori, Emiliano, ed. Dionigi Areopagita. Nomi divini, teologia mistica, epistole: La versione siriaca di Sergio di Rēš‘aynā (VI secolo). CSCO 656-657, Syr. 252-253. Leuven: Peeters, 2014.
DorothMarc:EpMarcian	Nau, François, ed. Documents pour servir à l’histoire de l’Église nestorienne: I. Quatre Homélies de saint Jean Chrysostome; II. Textes monophysites: Homélies d’Érechthios; Fragments divers; Extraits de Timothée Ælure, de Philoxène, de Bar Hébraeus; III. Histoire de Nestorius, d’après la lettre à Cosme et l’hymne de S. Patrologia Orientalis 13.2 [63]. Paris: Firmin-Didot, 1917. (Turnhout: Brepols, 1993.)
EliaAnb:BkExer&Cent	Juckel, Andreas Karl, ed. Der Ktābā d-Durrāšā (Ktābā d-Maʼwātā) des Elijā von Anbār. Mēmrā I–III. CSCO 559-560, Syr. 226-227. Leuven: Peeters, 1996.
EliaNis:Chron	Ref A: Brooks, Ernest Walter, eds. Eliae metropolitae Nisibeni opus chronologicum I. CSCO 62, Syr. III.7 [21]. Paris: Secrétariat du CorpusSCO, 1910. | Ref B: Chabot, Jean Baptiste and Brooks, Ernest Walter, eds. Eliae metropolitae Nisibeni opus chronologicum II. CSCO 62, Syr. III.8 [22}. Paris: Secrétariat du CorpusSCO, 1909. 
EliaNis:ExtSev	Kugener, Marc-Antoine, ed. Sévère, patriarche d’Antioche, 512-518: textes syriaques publiés, traduits et annotés. Pt. 2: Vie de Sévère par Jean, supérieur du monastère de Beith-Aphtonia, avec divers textes syriaques, grecs et latins. Patrologia Orientalis 2.3 [8]. Paris: Firmin-Didot, 1904. (Turnhout: Brepols, 2003.)
